id,label,status
V1D,hurt again,differs
V1E,more hurt,differs
V1F,Again,differs
V1G,still hurt,differs
V1H,more,differs
V1I,Obliteration Awaits,agrees
V1J,vanguard electruction?,differs
V1K,You will break,agrees
V1L,Their will is broken,agrees
V1M,Grenadier,agrees
V21,Shields Overwhelming,differs
V22,vanguard coughing,differs
V26,more infected breathing,differs
V2K,Nexus Shield never fails,agrees
V2M,Guardian,agrees
V31,Charge,agrees
V36,Recovery,differs
V3M,Heavy,agrees
V41,Blood,agrees
V46,animal recovering,differs
V4M,Hive Queen,agrees
V51,RWAR? So much audio bad,differs
V52,infected struggling; Zombie/Beast noises,differs
V53,Zombie/Beast noises,differs
V54,Zombie/Beast noises,differs
V55,Zombie/Beast noises,differs
V56,infected russling around and grunting; Zombie/Beast noises,differs
V57,Zombie/Beast noises,differs
V58,Zombie/Beast noises,differs
V59,Zombie/Beast noises,differs
V61,Surge,differs
V6J,infected getting electricuted,differs
V71,Ultra Charged?,agrees
V72,Nexus being gassed; Cough,differs
V73,pain,differs
V74,yell,differs
V75,more yell,differs
V76,Infected struggling; recovery,differs
V77,Amped up,differs
V78,Roared?,agrees
V79,Forward,differs
V7J,ticked of infected,differs
V7M,Maurader,differs
V81,Meds Here,differs
V82,cough,differs
V83,pain,differs
V84,yell,differs
V85,more yell,differs
V86,Female catching breath; Recovery?,differs
V87,Bleeding Stopped,agrees
V88,Steralized,differs
V89,Steralized,differs
V8J,being electricuted,differs
V8M,Medic,agrees
V91,Turn up the heat,agrees
V92,male coughing; cough,agrees
V93,pain,differs
V94,Pain,differs
V95,Pain,differs
V96,Animal recovering; Recovery?,differs
V97,Refueled,agrees
V98,Toasted,agrees
V99,Toasted,differs
VA01,1.0,differs
VA02,2.0,agrees
VA03,3.0,agrees
VA04,4.0,differs
VA05,5.0,differs
VA06,6.0,differs
VA07,7.0,differs
VA08,8.0,agrees
VA09,9.0,differs
VA0A,10.0,agrees
VA0B,11.0,agrees
VA0C,12.0,agrees
VA0D,13.0,agrees
VA0E,14.0,agrees
VA0F,15.0,agrees
VA0G,16.0,agrees
VA0H,17.0,differs
VA0I,18.0,agrees
VA0J,19.0,agrees
VA0K,20.0,agrees
VA0L,21.0,agrees
VA0M,22.0,agrees
VA0N,23.0,agrees
VA0O,24.0,agrees
VA0P,25.0,agrees
VA0Q,30 Minutes; 30 min; 7 MINUTES,differs
VA0R,30 Seconds,agrees
VA0S,Ramp 45; 45 SECONDS RAMP UP,agrees
VA0T,45 Seconds,agrees
VA0U,Ramp 60,agrees
VA0V,60 Seconds,agrees
VA0W,Ramp 90; 90 SECONDS RAMP UP,agrees
VA0X,90 Seconds,agrees
VA0Y,Advanced Communications,agrees
VA0Z,Advanced UAV Detected,agrees
VA1,Watch This,agrees
VA10,Advanced UAV,agrees
VA11,Air Raid,agrees
VA12,Air Strike Detected,differs
VA13,Alpha Team; Alpha,agrees
VA14,Ammo Pouch,agrees
VA15,Armor Piercing Rounds,agrees
VA16,Armor Suit,agrees
VA17,Awareness,agrees
VA18,Batton,differs
VA19,Battle Axe,agrees
VA1A,Let the Battle Begin,agrees
VA1B,Welcome to Battle Reality,agrees
VA1C,Blackhawk Inbound,differs
VA1D,Blackhawk,agrees
VA1E,BlindEye,differs
VA1F,Blockade,agrees
VA1G,Body Armor,agrees
VA1H,The Bomb has been diffused; BOMB DIFUSED,differs
VA1I,Bomb has been planted; BOMB PLANTED,agrees
VA1J,Bo Staff,differs
VA1K,Bow,differs
VA1L,Bravo Team; Bravo,agrees
VA1M,Burst Glock,agrees
VA1N,Enemy care package detected,agrees
VA1O,Enemy care package underway,agrees
VA1P,Incoming care package,agrees
VA1Q,Care Package,agrees
VA1R,Charlie Team; Charlie,agrees
VA1S,Enemy chopper detected,agrees
VA1T,Enemy chopper in your vacinity,agrees
VA1U,Incoming chopper,agrees
VA1V,Claymore,agrees
VA1W,Cluster grenade,agrees
VA1X,Combat Axe,agrees
VA1Y,Commanders,agrees
VA1Z,Concussion Grenades,agrees
VA2,Coughing,differs
VA20,Connection Established,agrees
VA21,Control Point Contested,agrees
VA22,Control point lost,agrees
VA23,Control point captured,agrees
VA24,Critical Strike,agrees
VA25,Deadeye,differs
VA26,DeathMatch; DEATH MATCH,differs
VA27,Delta Team; Delta,agrees
VA28,Deployment,agrees
VA29,Desert Eagle,agrees
VA2A,Device Paired,agrees
VA2B,Device Removed,agrees
VA2C,Double Mags,agrees
VA2D,Double Trigger,agrees
VA2E,This games a draw; DRAW GAME,differs
VA2F,Dual Wield,differs
VA2G,Echo Team,agrees
VA2H,EMP,agrees
VA2I,Enemy flag has been lost,agrees
VA2J,Enemy team has our flag,agrees
VA2K,Ememy flag has been captured,agrees
VA2L,Enemy sentry detected,agrees
VA2M,Explosive rounds,agrees
VA2N,Extended Mags,agrees
VA2O,Fast track,agrees
VA2P,15 Minutes; 15 min,agrees
VA2Q,15 Seconds,agrees
VA2R,First aid,agrees
VA2S,5 minutes; 5 min; FIVE MINUTES,differs
VA2T,Flak Jacket,agrees
VA2U,Flash Bang,differs
VA2V,FMJ,agrees
VA2W,Focus; LASER SIGHT,differs
VA2X,Fore grip; ACCURACY,differs
VA2Y,Foxtrot Team,agrees
VA2Z,Frag,agrees
VA3,Scream,differs
VA30,Free for All,agrees
VA31,Friendly Fire Off,agrees
VA32,Friendly Fire On,agrees
VA33,Game Over (deep/slow); GAME OVER,agrees
VA34,Game Time,agrees
VA35,General; GENERALS,agrees
VA36,Generals,agrees
VA37,Ghost,agrees
VA38,Grenade Launcher,agrees
VA39,Grenade Type,agrees
VA3A,Guided Missile detected,agrees
VA3B,Guided Missile inbound,agrees
VA3C,Guided Missile,agrees
VA3D,Gun battery low,agrees
VA3E,Headset Connected,agrees
VA3F,Headset Removed; HEADSET DISCONNECTED,differs
VA3G,Healing Kit,agrees
VA3H,HellStorm Missile,agrees
VA3I,High,agrees
VA3J,HiJack Complete,agrees
VA3K,HiJack Enabled,agrees
VA3L,The enemy has hijacked your equipment,agrees
VA3M,HiJack,agrees
VA3N,Hollow Point,differs
VA3O,WHUUHOOO,differs
VA3P,WHUU,differs
VA3Q,YEEAAAHH,differs
VA3R,Hostage Died; HOSTAGE DOWN,differs
VA3S,Hostage Rescued,agrees
VA3T,Human,agrees
VA3U,"Incoming air raid, find cover",agrees
VA3V,Incoming air raid,agrees
VA3W,Indoor Mode,agrees
VA3X,Indoor,agrees
VA3Y,Infected,agrees
VA3Z,Install Accessory; PAIRING MODE,differs
VA4,Pain sound,differs
VA40,Join a faction,agrees
VA41,Join the ranks,agrees
VA42,Knife,agrees
VA43,Last Stand,agrees
VA44,Lethal,agrees
VA45,Lights out,agrees
VA46,Lives depleted,differs
VA47,Lives,agrees
VA48,Long barrel,agrees
VA49,Long,agrees
VA4A,Low,agrees
VA4B,M4,agrees
VA4C,Maul,differs
VA4D,Medkit; Med kit,differs
VA4E,Medium,agrees
VA4F,MG7,agrees
VA4G,MGR,agrees
VA4H,Incoming Missile Strike,agrees
VA4I,Enemy Missile Strike Detected,agrees
VA4J,Missile Strike,agrees
VA4K,Missile Swarm Detected,agrees
VA4L,Incoming Mortar,agrees
VA4M,Mortar Round,agrees
VA4N,Nexus,agrees
VA4O,9MM,agrees
VA4P,Nuclear launch detected,agrees
VA4Q,Enemy nuclear launch detected,agrees
VA4R,Incoming nuclear missile,agrees
VA4S,Nuke,agrees
VA4T,Off,agrees
VA4U,Offhand equipped,agrees
VA4V,On,agrees
VA4W,Outdoor Mode,agrees
VA4X,Outdoor,agrees
VA4Y,Pepper Spray,agrees
VA4Z,Phoenix,agrees
VA5,another yell,differs
VA50,Pistol,agrees
VA51,Quick hands,agrees
VA52,Recon,agrees
VA53,Regen,differs
VA54,Respawn Time,agrees
VA55,Respawn Type,agrees
VA56,Rocket Launcher,agrees
VA57,Saber,agrees
VA58,Scavenger,agrees
VA59,Second Life,agrees
VA5A,Choose a Class,agrees
VA5B,Select Fire,agrees
VA5C,Select a Game,agrees
VA5D,Select a Perk,agrees
VA5E,Select a Team,agrees
VA5F,Select a Weapon,agrees
VA5G,Self destruct initiated,agrees
VA5H,Sensor battery low,agrees
VA5I,Sentry deployed,differs
VA5J,Sentry,differs
VA5K,Shield equiped,differs
VA5L,Shield,agrees
VA5M,Short,agrees
VA5N,Seige,differs
VA5O,Silencer,agrees
VA5P,6 Minutes,differs
VA5Q,Slug Round,agrees
VA5R,SMG X3,agrees
VA5S,Sniper R50,agrees
VA5T,Speed Boost,agrees
VA5U,Spy,agrees
VA5V,Squad Leader Off,agrees
VA5W,Squad Leader On,agrees
VA5X,Squad Leader,agrees
VA5Y,SR100; Sr-100,differs
VA5Z,Standard; ADMIN UNLOCKED,differs
VA6,ouch heavy breathing; Breathing,differs
VA60,Stealth; Stealth outdoor; NIGHT MODE,differs
VA61,Sudden Death,agrees
VA62,Supremecy; Supremacy,differs
VA63,Supressor,differs
VA64,Survival,agrees
VA65,Survivor,agrees
VA66,Swap lift,agrees
VA67,Sword,agrees
VA68,System Hack Initiated,agrees
VA69,System Hack,agrees
VA6A,Tac87; Tac-87,differs
VA6B,Tar33,differs
