t_recv	match_id	node_id	kind	player_id	shooter_num	shooter_team	dmg	sensor	ir_proto
1789339361501	fba981640d	node-008a563e38	hit_taken	002803e7	1	0	50	1	0
1789339361512	fba981640d	node-008a563e38	death	002803e7	1	0			
1789339366535	fba981640d	node-008a563e38	respawn	002803e7					
1789339370250	fba981640d	node-008a563e38	hit_taken	002803e7	1	0	50	1	0
1789339370258	fba981640d	node-008a563e38	death	002803e7	1	0			
1789339375275	fba981640d	node-008a563e38	respawn	002803e7					
1789339604585	f46fdd96e1	node-daeed47068	hit_taken	6748d5e1	2	0	48	0	0
1789339604988	f46fdd96e1	node-008a563e38	hit_taken	002803e7	1	0	18	0	0
1789339609690	f46fdd96e1	node-daeed47068	hit_taken	6748d5e1	2	0	48	0	0
1789339609699	f46fdd96e1	node-008a563e38	hit_taken	002803e7	1	0	18	2	0
1789339610096	f46fdd96e1	node-daeed47068	hit_taken	6748d5e1	2	0	48	0	0
1789339611688	f46fdd96e1	node-daeed47068	hit_taken	6748d5e1	2	0	21	0	0
1789339611691	f46fdd96e1	node-daeed47068	death	6748d5e1	2	0			
1789339626900	f46fdd96e1	node-daeed47068	respawn	6748d5e1					
1789339631952	f46fdd96e1	node-008a563e38	hit_taken	002803e7	1	0	70	0	0
1789339631994	f46fdd96e1	node-daeed47068	hit_taken	6748d5e1	2	0	70	4	0
1789339632753	f46fdd96e1	node-008a563e38	hit_taken	002803e7	1	0	59	0	0
1789339632761	f46fdd96e1	node-008a563e38	death	002803e7	1	0			
1789339647786	f46fdd96e1	node-008a563e38	respawn	002803e7					
1789339654362	f46fdd96e1	node-daeed47068	hit_taken	6748d5e1	2	0	45	4	0
